timestamp,date_gmt,status,home_team_name,away_team_name,referee,game_week,pre_match_ppg_home_,pre_match_ppg_away_,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_ht_fhg_percentage_pre_match,over_05_ht_fhg_percentage_pre_match,over_15_2hg_percentage_pre_match,over_05_2hg_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,stadium_name,competici_n
1718046000,Jun 10 2024 - 7:00pm,complete,Ghana,Central African Republic,Abdulrazg Ahmed,4.0,2.0,1.33,2.5,0.8,4,3,7,3,1,2,"6,60,62,69","11,41,90",0,2,2,0,4,0,0,2,1,3,10,8,4,6,6,2,14,12,67,33,2.34,50,50,33,17,17,17,67,50,67,7.67,2.0,desconocido,CAF
1718110800,Jun 11 2024 - 1:00pm,complete,South Sudan,Sudan,Ahmad Heeralall,4.0,0.67,2.33,0.5,1.3,0,3,3,1,0,1,desconocido,"45'3,51,78",7,3,1,0,1,0,0,1,1,0,15,12,8,8,7,4,17,9,50,50,1.84,33,67,17,17,0,50,50,17,50,4.66,3.0,desconocido,CAF
1718110800,Jun 11 2024 - 1:00pm,complete,Mauritius,Swaziland,Mohamed Athoumani,4.0,0.33,0.0,0.6,0.3,2,1,3,2,2,0,"17,43",66,1,6,2,0,2,0,0,2,0,2,11,12,5,4,6,8,11,11,38,62,1.67,17,50,34,0,0,33,67,17,33,8.66,2.34,desconocido,CAF
1718110800,Jun 11 2024 - 1:00pm,complete,Kenya,Ivory Coast,Jalal Jayed,4.0,1.33,3.0,1.2,2.6,0,0,0,0,0,0,desconocido,desconocido,2,10,0,0,1,0,0,0,0,1,5,11,3,1,2,10,9,9,50,50,3.67,34,84,50,33,33,33,84,67,84,12.67,2.0,Moi International Sports Centre,CAF
1718110800,Jun 11 2024 - 1:00pm,complete,Madagascar,Mali,Patrice Mebiame,4.0,2.0,1.33,1.9,1.8,0,0,0,0,0,0,desconocido,desconocido,2,10,2,1,1,0,2,1,0,1,9,17,2,6,7,11,13,16,72,28,2.67,67,84,67,17,0,0,67,84,100,14.67,2.33,desconocido,CAF
1718121600,Jun 11 2024 - 4:00pm,complete,South Africa,Zimbabwe,Mohamed Maarouf Eid Mansour,4.0,1.33,0.67,2.1,0.5,3,1,4,2,1,1,"1,55,76",2,12,2,1,0,0,0,0,1,0,0,13,5,8,3,5,2,10,10,68,32,1.83,50,84,17,0,0,50,84,0,50,10.0,4.0,desconocido,CAF
1718121600,Jun 11 2024 - 4:00pm,complete,Lesotho,Rwanda,Aklesso Gnama,4.0,1.67,1.33,0.9,1.1,0,1,1,1,0,1,desconocido,45,3,1,2,0,2,0,1,1,1,1,13,9,3,2,10,7,16,15,35,65,1.17,17,50,0,0,0,33,50,17,17,5.0,4.0,Orlando Stadium,CAF
1718121600,Jun 11 2024 - 4:00pm,complete,Cape Verde Islands,Libya,Kalilou Traore,4.0,1.33,2.33,2.3,1.6,1,0,1,1,1,0,10,desconocido,10,5,2,0,2,0,0,2,1,1,14,4,5,2,9,2,12,14,39,61,2.17,50,67,33,17,17,67,67,0,33,5.67,2.33,EstÃ¡dio Nacional de Cabo Verde,CAF
1718121600,Jun 11 2024 - 4:00pm,complete,Zambia,Tanzania,Abdel Aziz Mohamed Bouh,4.0,1.0,1.5,1.13,1.25,0,1,1,1,0,1,desconocido,5,6,1,2,0,4,0,0,2,2,2,17,5,4,1,13,4,16,17,50,50,2.75,50,75,50,17,17,34,75,34,100,5.0,7.0,Levy Mwanawasa Stadium,CAF
1718121600,Jun 11 2024 - 4:00pm,complete,Chad,Comoros,Adalbert Diouf,4.0,0.0,2.0,0.1,1.5,0,2,2,0,0,0,desconocido,"59,76",3,4,1,0,1,0,0,1,0,1,4,12,0,6,4,6,13,10,45,55,3.0,50,67,67,33,17,17,100,67,67,4.34,2.0,desconocido,CAF
