id_partido,match_no,fase,ronda,grupo,fecha_local,hora_local_24h,fecha_peru,hora_peru,id_equipo_local,equipo_local,equipo_local_normalizado,codigo_local,id_equipo_visitante,equipo_visitante,equipo_visitante_normalizado,codigo_visitante,id_sede,ciudad,pais_sede,estadio,sede_normalizada,partido_nombre,estado,resultado,goles_local,goles_visitante,fuente_fixture,fuente_verificacion_fifa,nota
22,22,Fase de grupos,Group Stage,L,2026-06-17,16:00,2026-06-17,16:00,18,England,england,ENG,12,Croatia,croatia,CRO,3,Dallas,United States,AT&T Stadium,at t stadium,England vs Croatia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
23,23,Fase de grupos,Group Stage,K,2026-06-17,16:00,2026-06-17,16:00,35,Portugal,portugal,POR,11,Congo DR,congo dr,COD,4,Houston,United States,NRG Stadium,nrg stadium,Portugal vs Congo DR,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
24,24,Fase de grupos,Group Stage,K,2026-06-17,16:00,2026-06-17,17:00,48,Uzbekistan,uzbekistan,UZB,10,Colombia,colombia,COL,16,Mexico City,Mexico,Estadio Azteca,estadio azteca,Uzbekistan vs Colombia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
25,25,Fase de grupos,Group Stage,A,2026-06-18,16:00,2026-06-18,15:00,14,Czechia,czechia,CZE,40,South Africa,south africa,RSA,1,Atlanta,United States,Mercedes-Benz Stadium,mercedes benz stadium,Czechia vs South Africa,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
26,26,Fase de grupos,Group Stage,B,2026-06-18,16:00,2026-06-18,18:00,43,Switzerland,switzerland,SUI,6,Bosnia And Herzegovina,bosnia and herzegovina,BIH,12,Los Angeles,United States,SoFi Stadium,sofi stadium,Switzerland vs Bosnia And Herzegovina,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
27,27,Fase de grupos,Group Stage,B,2026-06-18,16:00,2026-06-18,18:00,9,Canada,canada,CAN,36,Qatar,qatar,QAT,9,Vancouver,Canada,BC Place,bc place,Canada vs Qatar,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
28,28,Fase de grupos,Group Stage,A,2026-06-18,16:00,2026-06-18,17:00,28,Mexico,mexico,MEX,27,Korea Republic,korea republic,KOR,10,Guadalajara,Mexico,Estadio Akron,estadio akron,Mexico vs Korea Republic,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
29,29,Fase de grupos,Group Stage,C,2026-06-19,16:00,2026-06-19,15:00,7,Brazil,brazil,BRA,22,Haiti,haiti,HAI,6,Philadelphia,United States,Lincoln Financial Field,lincoln financial field,Brazil vs Haiti,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
30,30,Fase de grupos,Group Stage,C,2026-06-19,16:00,2026-06-19,15:00,38,Scotland,scotland,SCO,29,Morocco,morocco,MAR,2,Boston,United States,Gillette Stadium,gillette stadium,Scotland vs Morocco,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
31,31,Fase de grupos,Group Stage,D,2026-06-19,16:00,2026-06-19,18:00,45,Türkiye,turkiye,TUR,34,Paraguay,paraguay,PAR,14,San Francisco Bay Area,United States,Levi's Stadium,levi s stadium,Türkiye vs Paraguay,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
32,32,Fase de grupos,Group Stage,D,2026-06-19,16:00,2026-06-19,18:00,46,United States,united states,USA,3,Australia,australia,AUS,7,Seattle,United States,Lumen Field,lumen field,United States vs Australia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
33,33,Fase de grupos,Group Stage,E,2026-06-20,16:00,2026-06-20,15:00,20,Germany,germany,GER,15,Côte D'Ivoire,cote d ivoire,CIV,8,Toronto,Canada,BMO Field,bmo field,Germany vs Côte D'Ivoire,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
34,34,Fase de grupos,Group Stage,E,2026-06-20,16:00,2026-06-20,16:00,16,Ecuador,ecuador,ECU,13,Curaçao,curacao,CUW,15,Kansas City,United States,Arrowhead Stadium,arrowhead stadium,Ecuador vs Curaçao,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
35,35,Fase de grupos,Group Stage,F,2026-06-20,16:00,2026-06-20,16:00,30,Netherlands,netherlands,NED,42,Sweden,sweden,SWE,4,Houston,United States,NRG Stadium,nrg stadium,Netherlands vs Sweden,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
36,36,Fase de grupos,Group Stage,F,2026-06-20,16:00,2026-06-20,17:00,44,Tunisia,tunisia,TUN,25,Japan,japan,JPN,11,Monterrey,Mexico,Estadio BBVA,estadio bbva,Tunisia vs Japan,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
37,37,Fase de grupos,Group Stage,H,2026-06-21,16:00,2026-06-21,15:00,47,Uruguay,uruguay,URU,8,Cabo Verde,cabo verde,CPV,5,Miami,United States,Hard Rock Stadium,hard rock stadium,Uruguay vs Cabo Verde,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
38,38,Fase de grupos,Group Stage,H,2026-06-21,16:00,2026-06-21,15:00,41,Spain,spain,ESP,37,Saudi Arabia,saudi arabia,KSA,1,Atlanta,United States,Mercedes-Benz Stadium,mercedes benz stadium,Spain vs Saudi Arabia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
39,39,Fase de grupos,Group Stage,G,2026-06-21,16:00,2026-06-21,18:00,5,Belgium,belgium,BEL,23,Iran,iran,IRN,12,Los Angeles,United States,SoFi Stadium,sofi stadium,Belgium vs Iran,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
40,40,Fase de grupos,Group Stage,G,2026-06-21,16:00,2026-06-21,18:00,31,New Zealand,new zealand,NZL,17,Egypt,egypt,EGY,9,Vancouver,Canada,BC Place,bc place,New Zealand vs Egypt,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
41,41,Fase de grupos,Group Stage,I,2026-06-22,16:00,2026-06-22,15:00,32,Norway,norway,NOR,39,Senegal,senegal,SEN,13,New York New Jersey,United States,MetLife Stadium,metlife stadium,Norway vs Senegal,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
42,42,Fase de grupos,Group Stage,I,2026-06-22,16:00,2026-06-22,15:00,19,France,france,FRA,24,Iraq,iraq,IRQ,6,Philadelphia,United States,Lincoln Financial Field,lincoln financial field,France vs Iraq,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
43,43,Fase de grupos,Group Stage,J,2026-06-22,16:00,2026-06-22,16:00,2,Argentina,argentina,ARG,4,Austria,austria,AUT,3,Dallas,United States,AT&T Stadium,at t stadium,Argentina vs Austria,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
44,44,Fase de grupos,Group Stage,J,2026-06-22,16:00,2026-06-22,18:00,26,Jordan,jordan,JOR,1,Algeria,algeria,ALG,14,San Francisco Bay Area,United States,Levi's Stadium,levi s stadium,Jordan vs Algeria,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
45,45,Fase de grupos,Group Stage,L,2026-06-23,16:00,2026-06-23,15:00,18,England,england,ENG,21,Ghana,ghana,GHA,2,Boston,United States,Gillette Stadium,gillette stadium,England vs Ghana,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
46,46,Fase de grupos,Group Stage,L,2026-06-23,16:00,2026-06-23,15:00,33,Panama,panama,PAN,12,Croatia,croatia,CRO,8,Toronto,Canada,BMO Field,bmo field,Panama vs Croatia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
