"id_jugador","jugador_nombre_limpio","seleccion","foto_url","thesportsdb_id","nombre_api","estado_foto","error_api"
"394","ORDONEZ Joel Leandro GUERRERO","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Joel+Leandro+Guerrero+Ordonez"
"395","ALCIVAR Jordy Jose MACÍAS","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jordy+Jose+Mac%C3%ADas+Alcivar"
"396","PACHO Willian Joel TENORIO","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Willian+Joel+Tenorio+Pacho"
"397","ESTUPINAN Pervis Josue TENORIO","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Pervis+Josue+Tenorio+Estupinan"
"398","VALENCIA Anthony Lenin BAJAÑA A.","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Anthony+Lenin+Baja%C3%B1a+A.+Valencia"
"399","YEBOAH John ZAMORA","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=John+Zamora+Yeboah"
"400","PAEZ Kendry Ray ANDRADE","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Kendry+Ray+Andrade+Paez"
"401","RODRIGUEZ Kevin Jose CORTEZ","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Kevin+Jose+Cortez+Rodriguez"
"402","RAMIREZ Moises Wellington PRECIADO","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Moises+Wellington+Preciado+Ramirez"
"403","VALENCIA Enner Remberto LASTRA E.","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Enner+Remberto+Lastra+E.+Valencia"
"404","MINDA Alan Steve GARCIA","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Alan+Steve+Garcia+Minda"
"405","VITE Pedro Jeampierre UCA","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Pedro+Jeampierre+Uca+Vite"
"406","CAICEDO Jordy Josue MEDINA J.","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jordy+Josue+Medina+J.+Caicedo"
"407","PRECIADO Angelo Smit QUIÑONEZ","Ecuador","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Angelo+Smit+Qui%C3%B1onez+Preciado"
