timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1717898400,Jun 09 2024 - 2:00am,complete,N/A,Cayman Islands,Antigua and Barbuda,Pierre Luce Lauziere,2,0.00,1.00,0.75,0.25,1,0,1,0,0,0,"90'1","",3,9,0,0,1,0,0,0,0,1,10,12,7,4,3,8,9,15,45,55,0.00,0.87,1.48,1.60,1.00,50,50,0,0,0,0,50,0,50,2.00,1.00,11.00,7.50,1.20,1.05,1.33,1.85,3.00,1.80,1.95,N/A
1717959600,Jun 09 2024 - 7:00pm,complete,N/A,Dominica,Jamaica,Fernando Guerrero Ramírez,2,0.00,3.00,0.75,2.30,2,3,5,2,0,2,"82,88","30,42,79",1,8,0,0,0,0,0,0,0,0,6,16,3,7,3,9,11,16,42,58,1.11,0.99,0.95,1.95,3.50,0,50,50,50,50,50,100,50,50,6.00,5.00,41.00,17.00,1.04,1.01,1.11,1.16,1.38,2.42,1.58,Windsor Park
1717959600,Jun 09 2024 - 7:00pm,complete,N/A,St. Vincent / Grenadines,El Salvador,N/A,2,0.00,1.00,0.75,1.10,1,3,4,2,1,1,"43","10,60,83",7,12,1,0,1,0,0,1,1,0,6,14,4,5,2,9,11,14,41,59,1.05,1.11,0.83,1.68,2.50,50,50,50,50,50,50,50,50,50,13.00,3.00,9.00,7.00,1.25,1.10,1.50,1.99,3.10,2.00,1.75,N/A
1717966800,Jun 09 2024 - 9:00pm,complete,N/A,Grenada,Costa Rica,N/A,2,1.00,3.00,1.75,1.90,0,3,3,2,0,2,"","9,34,70",5,5,3,0,1,0,1,2,0,1,3,9,0,6,3,3,17,24,60,40,1.60,1.94,0.77,1.30,4.00,50,100,100,100,0,50,100,50,100,7.00,2.00,19.00,9.50,1.11,1.09,1.36,1.87,2.80,2.48,1.61,N/A
1717966800,Jun 09 2024 - 9:00pm,complete,N/A,Barbados,Haiti,N/A,2,0.00,3.00,0.25,2.00,1,3,4,2,0,2,"73","12,45'1,84",1,4,2,0,1,0,2,0,0,1,5,16,3,5,2,11,10,15,32,68,0.92,2.26,0.76,1.82,4.00,100,100,100,50,50,0,100,100,100,12.00,3.00,34.00,13.00,1.05,1.08,1.25,1.77,2.70,2.96,1.44,N/A
1717974000,Jun 09 2024 - 11:00pm,complete,N/A,Bermuda,Honduras,N/A,2,1.00,3.00,0.80,2.10,1,6,7,2,1,1,"45'4","14,49,53,56,62,90'1",2,6,1,0,0,0,0,1,0,0,3,23,3,14,0,9,5,8,40,60,2.41,2.23,0.59,2.82,3.00,100,100,50,50,0,50,100,0,100,18.00,3.00,13.00,7.00,1.20,1.14,1.40,2.10,3.50,1.95,1.80,Bermuda National Stadium
1717981200,Jun 10 2024 - 1:00am,complete,N/A,Montserrat,Panama,Ismael Alexander Cornejo,2,0.00,3.00,0.75,2.40,1,3,4,1,0,1,"48","40,61,70",3,8,1,0,0,0,0,1,0,0,2,16,1,8,1,8,10,12,27,73,0.86,1.78,0.51,2.46,3.50,50,100,50,50,50,50,50,100,100,9.00,5.00,41.00,15.00,1.05,1.01,1.18,1.17,1.40,2.38,1.53,Estadio Olimpico del IND Managua
1718132400,Jun 11 2024 - 7:00pm,complete,N/A,St. Lucia,Aruba,N/A,3,0.00,0.00,1.00,0.50,2,2,4,3,1,2,"45'2,67","21,43",5,4,1,0,1,0,0,1,0,1,14,10,9,8,5,2,18,15,57,43,0.53,0.65,2.00,1.49,2.50,50,100,50,0,0,0,50,100,100,4.00,4.00,2.10,3.60,3.40,1.26,1.75,2.32,2.32,1.67,2.10,N/A
1718134200,Jun 11 2024 - 7:30pm,complete,N/A,Cuba,Cayman Islands,N/A,3,0.00,3.00,1.50,0.75,3,0,3,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.45,1.48,0.00,0.00,2.50,50,50,50,50,0,50,50,0,100,6.00,3.00,1.08,12.00,21.00,1.07,1.33,1.83,2.65,2.50,1.50,N/A
1718136000,Jun 11 2024 - 8:00pm,complete,N/A,St. Kitts and Nevis,Bahamas,Walter Alexander López Castellanos,3,0.00,0.00,0.75,0.00,1,0,1,1,1,0,"12","",15,3,2,0,2,1,0,2,2,1,20,4,9,2,11,2,16,13,68,32,0.58,1.08,2.49,0.62,6.00,50,100,100,100,50,50,100,100,100,4.00,4.00,1.20,7.00,11.00,1.01,1.48,2.05,2.24,2.05,1.70,Warner Park Football Stadium
