id_partido,match_no,fase,ronda,grupo,fecha_local,dia_semana_en,hora_local_12h,hora_local_24h,timezone_sede,datetime_local_iso,datetime_utc_iso,fecha_peru,hora_peru,datetime_peru_iso,id_equipo_local,equipo_local,equipo_local_original,codigo_local,id_equipo_visitante,equipo_visitante,equipo_visitante_original,codigo_visitante,id_sede,ciudad,pais_sede,estadio,nombre_fifa_estadio,partido_nombre,estado,resultado,goles_local,goles_visitante,fuente_fixture,fuente_verificacion_fifa,nota
21,21,Fase de grupos,Group Stage,L,2026-06-17,Wednesday,4:00 pm,16:00,America/Toronto,2026-06-17T16:00:00-04:00,2026-06-17T20:00:00+00:00,2026-06-17,15:00,2026-06-17T15:00:00-05:00,21,Ghana,Ghana,GHA,33,Panama,Panama,PAN,8,Toronto,Canada,BMO Field,Toronto Stadium,Ghana vs Panama,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
22,22,Fase de grupos,Group Stage,L,2026-06-17,Wednesday,4:00 pm,16:00,America/Chicago,2026-06-17T16:00:00-05:00,2026-06-17T21:00:00+00:00,2026-06-17,16:00,2026-06-17T16:00:00-05:00,18,England,England,ENG,12,Croatia,Croatia,CRO,3,Dallas,United States,AT&T Stadium,Dallas Stadium,England vs Croatia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
23,23,Fase de grupos,Group Stage,K,2026-06-17,Wednesday,4:00 pm,16:00,America/Chicago,2026-06-17T16:00:00-05:00,2026-06-17T21:00:00+00:00,2026-06-17,16:00,2026-06-17T16:00:00-05:00,35,Portugal,Portugal,POR,11,Congo DR,Congo DR,COD,4,Houston,United States,NRG Stadium,Houston Stadium,Portugal vs Congo DR,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
24,24,Fase de grupos,Group Stage,K,2026-06-17,Wednesday,4:00 pm,16:00,America/Mexico_City,2026-06-17T16:00:00-06:00,2026-06-17T22:00:00+00:00,2026-06-17,17:00,2026-06-17T17:00:00-05:00,48,Uzbekistan,Uzbekistan,UZB,10,Colombia,Colombia,COL,,Mexico City,Mexico,Estadio Azteca,Mexico City Stadium,Uzbekistan vs Colombia,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
25,25,Fase de grupos,Group Stage,A,2026-06-18,Thursday,4:00 pm,16:00,America/New_York,2026-06-18T16:00:00-04:00,2026-06-18T20:00:00+00:00,2026-06-18,15:00,2026-06-18T15:00:00-05:00,14,Czechia,Czechia,CZE,40,South Africa,South Africa,RSA,1,Atlanta,United States,Mercedes-Benz Stadium,Atlanta Stadium,Czechia vs South Africa,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
26,26,Fase de grupos,Group Stage,B,2026-06-18,Thursday,4:00 pm,16:00,America/Los_Angeles,2026-06-18T16:00:00-07:00,2026-06-18T23:00:00+00:00,2026-06-18,18:00,2026-06-18T18:00:00-05:00,43,Switzerland,Switzerland,SUI,6,Bosnia And Herzegovina,Bosnia & Herzegovina,BIH,,Los Angeles,United States,SoFi Stadium,Los Angeles Stadium,Switzerland vs Bosnia And Herzegovina,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
27,27,Fase de grupos,Group Stage,B,2026-06-18,Thursday,4:00 pm,16:00,America/Vancouver,2026-06-18T16:00:00-07:00,2026-06-18T23:00:00+00:00,2026-06-18,18:00,2026-06-18T18:00:00-05:00,9,Canada,Canada,CAN,36,Qatar,Qatar,QAT,9,Vancouver,Canada,BC Place,BC Place Vancouver,Canada vs Qatar,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
28,28,Fase de grupos,Group Stage,A,2026-06-18,Thursday,4:00 pm,16:00,America/Mexico_City,2026-06-18T16:00:00-06:00,2026-06-18T22:00:00+00:00,2026-06-18,17:00,2026-06-18T17:00:00-05:00,28,Mexico,Mexico,MEX,27,Korea Republic,Korea Republic,KOR,10,Guadalajara,Mexico,Estadio Akron,Guadalajara Stadium,Mexico vs Korea Republic,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
29,29,Fase de grupos,Group Stage,C,2026-06-19,Friday,4:00 pm,16:00,America/New_York,2026-06-19T16:00:00-04:00,2026-06-19T20:00:00+00:00,2026-06-19,15:00,2026-06-19T15:00:00-05:00,7,Brazil,Brazil,BRA,22,Haiti,Haiti,HAI,6,Philadelphia,United States,Lincoln Financial Field,Philadelphia Stadium,Brazil vs Haiti,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
30,30,Fase de grupos,Group Stage,C,2026-06-19,Friday,4:00 pm,16:00,America/New_York,2026-06-19T16:00:00-04:00,2026-06-19T20:00:00+00:00,2026-06-19,15:00,2026-06-19T15:00:00-05:00,38,Scotland,Scotland,SCO,29,Morocco,Morocco,MAR,2,Boston,United States,Gillette Stadium,Boston Stadium,Scotland vs Morocco,To be played,,,,https://fifaworldcup26.hospitality.fifa.com/,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,Fixture extraído de FIFA World Cup 2026 Hospitality/On Location. Horas interpretadas como hora local de la sede y convertidas a UTC y America/Lima.
